Level,Unit,No. ,Word,POS,Chinese Meaning
5,1,1,compact,adj.,緊密的;結實的;小型的
5,1,2,heavenly,adj.,天堂般的
5,1,3,horizontal,adj.,水平的;橫的
5,1,4,infinite,adj.,無限的
5,1,5,naive,adj.,天真的;幼稚的;輕信的
5,1,6,wholesale,adj.,批發的
5,1,7,alternate,v.,輪流
5,1,8,braid,v.,編成辮子;編成穗帶;編結
5,1,9,bulge,v.,膨脹;凸起;裝滿
5,1,10,commission,v.,委任;委託
5,1,11,compliment,v.,讚美;恭維
5,1,12,dispense,v.,分配;執行;配(藥)
5,1,13,exclaim,v.,呼喊;驚叫
5,1,14,freight,v.,裝貨於;運輸(貨物)
5,1,15,issue,v.,發行;發佈
5,1,16,shatter,v.,粉碎;砸碎
5,1,17,whirl,v.,旋轉;迴旋
5,1,18,communism,n.,共產主義
5,1,19,fiancee,n.,未婚妻
5,1,20,majesty,n.,雄偉;壯麗;(帝王的)威嚴
5,1,21,migrant,n.,移民;候鳥
5,1,22,oatmeal,n.,燕麥片;燕麥粥
5,1,23,packet,n.,小包(裹);小捆;小袋
5,1,24,pimple,n.,丘疹;面皰
5,1,25,refuge,n.,躲避;避難;避難所
5,1,26,scorn,n.,輕蔑;嘲笑
5,1,27,spectator,n.,旁觀者;目擊者
5,1,28,statistic,n.,統計量;統計數值
5,1,29,tavern,n.,小酒館;小客棧
5,1,30,temptation,n.,引誘;誘惑;誘惑物
5,1,31,torture,n.,拷打;酷刑;折磨
5,1,32,veil,n.,面紗;帷幕;託詞
5,1,33,warrior,n.,武士;戰士;勇士
5,2,1,abrupt,adj.,突然的;意外的
5,2,2,carefree,adj.,無憂無慮的;輕鬆愉快的
5,2,3,solemn,adj.,嚴肅的;莊嚴的;鄭重的
5,2,4,worthy,adj.,值得的
5,2,5,acknowledge,v.,承認
5,2,6,applaud,v.,向...鼓掌;稱讚
5,2,7,conceal,v.,隱蔽;隱藏
5,2,8,dispose,v.,配置;處置
5,2,9,inherit,v.,繼承(傳統;遺產等)
5,2,10,modernize,v.,使現代化 (美式拼寫)
5,2,11,revolt,v.,反叛;起義;使反感
5,2,12,stink,v.,發惡臭;名聲臭
5,2,13,tangle,v.,使糾結;使混亂
5,2,14,thrust,v.,用力推;刺;插
5,2,15,trifle,v.,戲弄;輕視
5,2,16,tiptoe,v.,踮著腳
5,2,17,blues,n.,藍調;憂鬱
5,2,18,bosom,n.,胸;乳房;(衣服的)襟;胸懷
5,2,19,caretaker,n.,照顧者;管理人
5,2,20,circuit,n.,環道;一圈;巡迴路線;電路
5,2,21,consent,n.,同意;贊成
5,2,22,convict,n.,(服刑的)囚犯
5,2,23,eyelash,n.,(一根)睫毛;
5,2,24,flip,n.,輕彈;輕擊
5,2,25,framework,n.,架構;組織
5,2,26,fuse,n.,保險絲;引信
5,2,27,gloom,n.,陰暗;暗處;沮喪的氣氛
5,2,28,hiss,n.,嘶嘶聲;噓聲
5,2,29,initiate,n.,初學者;新加入者
5,2,30,league,n.,同盟;聯盟
5,2,31,octopus,n.,章魚
5,2,32,orient,n.,亞洲國家(尤指東亞)
5,2,33,parlor,n.,客廳;接待室
5,2,34,plantation,n.,大農園;造林地
5,2,35,plow,n.,犁;除雪機 (=plough)
5,2,36,revolt,n.,反叛;起義;反感
5,2,37,rifle,n.,步槍;來福槍
5,2,38,shred,n.,碎片;碎條;破布
5,3,1,allergic,adj.,過敏的
5,3,2,extraordinary,adj.,異常的;特別的
5,3,3,marginal,adj.,頁邊的;邊緣的;不重要的
5,3,4,ensure,v.,保證;擔保
5,3,5,impose,v.,徵(稅);加(負擔等)於
5,3,6,jaywalk,v.,不守交通規則橫穿馬路
5,3,7,pulse,v.,搏動;跳動;振動
5,3,8,steer,v.,掌(船)
5,3,9,surge,v.,(海浪) 湧動
5,3,10,AI,n.,人工智慧 (artificial intelligence)
5,3,11,boulevard,n.,林蔭大道;大馬路
5,3,12,bound,n.,跳躍;領域;界限
5,3,13,clause,n.,(文件的)條款;子句
5,3,14,courtyard,n.,庭院;天井
5,3,15,crib,n.,嬰兒床
5,3,16,devotion,n.,奉獻
5,3,17,flap,n.,薄片;(信封的)蓋口;拍動
5,3,18,isle,n.,小島
5,3,19,landlord,n.,房東
5,3,20,mansion,n.,大廈;大樓
5,3,21,maple,n.,槭樹;楓樹
5,3,22,mint,n.,薄荷;薄荷糖;造幣廠
5,3,23,procession,n.,一(長)列;一(長)排;隊伍
5,3,24,sneaker,n.,運動鞋
5,3,25,trout,n.,鱒魚;鮭鱒魚
5,3,26,worship,n.,崇拜;敬神;禮拜
5,4,1,elaborate,adj.,精心製作的;煞費苦心的;辛勤的
5,4,2,poetic,adj.,詩的;韻文的
5,4,3,conduct,v.,引導;帶領
5,4,4,convict,v.,證明...有罪;判...有罪
5,4,5,discard,v.,拋棄;摒棄;丟棄
5,4,6,mash,v.,把...搗成糊狀;壓碎
5,4,7,piss,v.,小便
5,4,8,prey,v.,捕食;掠奪
5,4,9,stump,v.,砍去...的幹;作巡迴政治演說; 把...難住
5,4,10,beforehand,adv.,事先;提前地
5,4,11,underneath,adv.,在下面;在底下
5,4,12,backbone,n.,脊柱;支柱;骨幹
5,4,13,blacksmith,n.,鐵匠
5,4,14,blur,n.,模糊;模糊不清的事物
5,4,15,briefcase,n.,公事包
5,4,16,brotherhood,n.,兄弟關係;同志關係
5,4,17,cannon,n.,大砲;榴彈砲
5,4,18,crocodile,n.,鱷魚
5,4,19,foil,n.,箔;花劍劍術
5,4,20,fraction,n.,小部分;片段;碎片
5,4,21,interpreter,n.,通譯員
5,4,22,nibble,n.,細咬;啃;少量
5,4,23,notable,n.,名人;顯要人物
5,4,24,notion,n.,概念;想法;打算
5,4,25,orchard,n.,果樹園;果樹林
5,4,26,purchase,n.,所購之物
5,4,27,rib,n.,肋骨;排骨
5,4,28,robin,n.,知更鳥
5,4,29,snore,n.,打鼾;鼾聲
5,4,30,tin,n.,錫;罐頭
5,5,1,colonial,adj.,殖民地的;殖民的
5,5,2,contemporary,adj.,當代的
5,5,3,enthusiastic,adj.,熱情的;熱烈的
5,5,4,falter,v.,踉蹌;搖晃;結巴地說話
5,5,5,gleam,v.,發微光;閃現
5,5,6,ornament,v.,裝飾;美化
5,5,7,ripple,v.,起漣漪;(頭髮等)波浪式
5,5,8,rival,v.,與...競爭;比得上
5,5,9,squash,v.,把...壓扁(壓碎)
5,5,10,startle,v.,使驚嚇;使驚奇
5,5,11,ace,n.,(紙牌)A;么點牌;專家;發球得分
5,5,12,algebra,n.,代數
5,5,13,alien,n.,外國人;外星人
5,5,14,allergy,n.,過敏症
5,5,15,bachelor,n.,單身漢
5,5,16,coral,n. adj.,珊瑚(色的)
5,5,17,crossing,n.,交叉;交叉點;橫穿;雜交
5,5,18,flake,n.,小薄片
5,5,19,geometry,n.,幾何學
5,5,20,hostage,n.,人質;抵押品
5,5,21,lash,n.,鞭打;(風浪等的)猛烈打擊;斥責
5,5,22,overflow,n.,溢出;過剩;泛濫
5,5,23,ranch,n.,大牧場
5,5,24,saddle,n.,馬鞍;(自行車摩托車的)車座
5,5,25,snort,n.,噴鼻息;噴氣聲
5,5,26,toil,n.,辛苦;勞累;苦工
5,6,1,absurd,adj.,荒謬的;愚蠢的
5,6,2,ample,adj.,大量的;充裕的
5,6,3,beloved,adj.,心愛的
5,6,4,inland,adj.,內地的;內陸的
5,6,5,worthwhile,adj.,值得花費時間(或金錢)
5,6,6,beware,v.,當心;提防
5,6,7,bolt,v.,閂上;用螺栓拴緊;吞吃;衝出
5,6,8,compass,v.,圖謀;計劃;包圍;達到;理解
5,6,9,condemn,v.,責備;譴責;判刑
5,6,10,despise,v.,鄙視
5,6,11,penetrate,v.,穿過;透過;識破;滲透入
5,6,12,quiver,v.,顫抖;抖動(翅膀等)
5,6,13,recommend,v.,推薦;介紹
5,6,14,suppress,v.,鎮壓;壓制;抑制
5,6,15,tan,v.,曬成棕褐色;鞣(皮)
5,6,16,tilt,v.,使傾斜;使翹起;偏向
5,6,17,astonishment,n.,驚訝;驚愕
5,6,18,auxiliary,n.,輔助者;助動詞
5,6,19,bog,n.,沼澤;泥塘
5,6,20,breadth,n.,寬度;幅度;寬宏
5,6,21,bribe,n.,賄賂
5,6,22,calligraphy,n.,書法;筆跡
5,6,23,checkup,n.,檢查;體檢
5,6,24,chimpanzee,n.,黑猩猩
5,6,25,guideline,n.,指南;指導方針
5,6,26,lawmaker,n.,立法者
5,6,27,legislation,n.,立法;法規
5,6,28,massage,n.,按摩(術);推拿
5,6,29,olive,n. adj.,橄欖(的);橄欖色
5,6,30,particle,n.,微粒;顆粒
5,6,31,sculptor,n.,雕刻家
5,6,32,solo,n. adj.,獨奏(曲);獨唱(曲);單飛
5,6,33,stain,n.,污點;色斑;染色劑
5,6,34,tempo,n.,速度;拍子
5,6,35,traitor,n.,叛徒;賣國賊;背叛者
5,6,36,wade,n.,跋涉;艱難的行走
5,6,37,wharf,n.,碼頭;停泊處
5,7,1,barren,adj.,貧瘠的;荒蕪的;不妊的
5,7,2,superficial,adj.,外表的;粗略的;膚淺的
5,7,3,verbal,adj.,言辭上的;動詞的
5,7,4,contemplate,v.,凝視;思忖;仔細考慮
5,7,5,curb,v.,控制;遏止;勒住
5,7,6,quack,v.,(鴨) 嘎嘎叫
5,7,7,soften,v.,使變柔軟;使變和藹
5,7,8,supervise,v.,監督;管理;指導
5,7,9,thrill,v.,使興奮;使激動;使毛骨悚然;顫抖
5,7,10,whine,v.,發哀鳴聲;發牢騷
5,7,11,inwards,adv.,向內
5,7,12,altitude,n.,高度;海拔
5,7,13,belongings,n.,財產;攜帶物品
5,7,14,bleach,n.,漂白;漂白劑
5,7,15,coastline,n.,海岸線
5,7,16,crystal,n.,水晶
5,7,17,fertilizer,n.,肥料 (美式拼寫)
5,7,18,freight,n.,(船運的) 貨物;運費
5,7,19,lotus,n.,蓮花
5,7,20,mode,n.,方式;型;模式
5,7,21,motherhood,n.,母性;(總稱)母親們
5,7,22,paddle,n.,槳;(桌球的)球拍
5,7,23,reel,n.,捲軸;捲筒;一捲
5,7,24,slap,n.,摑;侮辱
5,7,25,stutter,n.,結巴;口吃
5,7,26,swarm,n.,(密集的)一大群
5,7,27,vertical,n.,垂直線;垂直面
5,8,1,cowardly,adj.,膽小的;懦怯的
5,8,2,erect,adj.,豎起的
5,8,3,immense,adj.,巨大的;廣大的
5,8,4,overall,adj.,總的;全部的;全面的
5,8,5,prehistoric,adj.,史前的;舊式的
5,8,6,astonish,v.,使吃驚;使驚訝
5,8,7,foul,v.,污染;玷污;犯規;塞住
5,8,8,justify,v.,證明...是正當的;辯解
5,8,9,patrol,v.,巡邏;巡查
5,8,10,slump,v.,(沈重地)倒下;(經濟)衰落
5,8,11,snort,v.,噴鼻息;輕蔑(或憤怒)
5,8,12,soak,v.,浸泡;使濕透
5,8,13,stroll,v.,散步;溜達
5,8,14,hence,adv.,因此;由此
5,8,15,solo,adv.,單獨地
5,8,16,underneath,prep.,在...下面
5,8,17,abortion,n.,墮胎
5,8,18,brace,n.,支柱;大括號;(牙齒)矯正器
5,8,19,category,n.,種類;類別
5,8,20,cathedral,n.,大教堂
5,8,21,chairman,n.,主席
5,8,22,commodity,n.,商品;日用品
5,8,23,crunch,n.,嘎吱吱(咬嚼)聲音;關鍵時刻
5,8,24,molecule,n.,分子;微小顆粒
